,paper_id,paper_title
97,7949,A Logic for Revision and Subjunctive Queries.
98,7950,DR-Prolog: A System for Reasoning with Rules and Ontologies on the Semantic Web.
99,7951,Abduction As Belief Revision: A Model of Preferred Explanations.
100,7955,Using Abstractions for Decision-Theoretic Planning with Time Constraints.
101,7959,Revision by Conditional Beliefs.
102,7960,Semantically Guiding a First-Order Theorem Prover with a Soft Model.
103,7965,Eliciting Bid Taker Non-price Preferences in (Combinatorial) Auctions.
104,7966,Argument Molecules: A Functional Representation of Argument Structure.
105,7968,Model-Based Diagnosis of Planning Failures.
106,7970,Towards an AI Model of Argumentation.
107,7975,A Reactive Robot System for Find and Fetch Tasks in an Outdoor Environment.
108,7976,Semi-Supervised Sequence Modeling with Syntactic Topic Models.
109,7977,Detecting and Eliminating the Cascade Vulnerability Problem from Multilevel Security Networks Using Soft Constraints.
110,7980,Coordination and Adaptation in Impromptu Teams.
111,7981,Constraints for the Early Detection of Discontinuity from Motion.
112,7982,Subjective Mapping.
113,7987,Reconstructing a Visible Surface.
114,7994,The Future of Knowledge Representation.
115,7996,Competence in Knowledge Representation.
116,7998,The Tractability of Subsumption in Frame-Based Description Languages.
117,8000,KRYPTON: Integrating Terminology and Assertion.
118,8002,Some Experiments with Case-Based Search.
119,8005,Induction of Causal Relationships From a Time-Oriented Clinical Database: An Overview of the RX Project.
120,8008,"Factored Planning: How, When, and When Not."
121,8010,Preferences over Sets.
122,8012,Towards Knowledge-Level Analysis of Motion Planning.
123,8014,Optimal Efficient Learning Equilibrium: Imperfect Monitoring in Symmetric Games.
124,8019,Knowledge Representation for Syntactic/Semantic Processing.
125,8021,Anytime Problem Solving Using Dynamic Programming.
126,8030,How to Cope With Anomalies in Parallel Approximate Branch-and-Bound Algorithms.
127,8031,A Learning and Reasoning System for Intelligence Analysis.
128,8032,Sensible Scenes: Visual Understanding of Complex Structures through Causal Analysis.
129,8035,Rule Refinement by Domain Experts in Complex Knowledge Bases.
130,8041,On Strictly Competitive Multi-Player Games.
131,8046,MPE and Partial Inversion in Lifted Probabilistic Variable Elimination.
132,8048,Stochastic Local Search for POMDP Controllers.
133,8049,Preference Elicitation and Generalized Additive Utility.
134,8052,"Plan Understanding, Narrative Comprehension, and Story Schemas."
135,8054,Tweety - Still Flying: Some Remarks on Abnormal Birds Applicable Rules and a Default Prover.
136,8055,Reasoning about Priorities in Default Logic.
137,8056,Prioritized Component Systems.
138,8058,Effective Approaches for Partial Satisfaction (Over-Subscription) Planning.
139,8065,Future Intelligent Information Systems: AI and Database Technologies Working Together.
140,8078,Reasoning about Exceptions during Plan Execution Monitoring.
141,8081,A Comparison of Novel and State-of-the-Art Polynomial Bayesian Network Learning Algorithms.
142,8082,Skill Acquisition and Use for a Dynamically-Balancing Soccer Robot.
143,8084,Recovery Planning for Ambiguous Cases in Perceptual Anchoring.
144,8090,Simulation-Assisted Inductive Learning.
145,8093,Compliance Viewed as Programming a Damped Spring.
146,8094,"Ready or Not, Here I Come ...."
147,8097,Learning Hierarchical Hidden Markov Models with General State Hierarchy.
148,8103,Myths and Legends in Learning Classification Rules.
149,8121,The Qualitative Difference Resolution Rule.
150,8122,Complexity Results for Serial Decomposability.
151,8123,An Average Case Analysis of Planning.
152,8129,Is Intractability of Non-Monotonic Reasoning a Real Drawback?
153,8131,The Complexity of Closed World Reasoning and Circumscription.
154,8137,Constructive Induction on Domain Information.
155,8140,DL-Lite: Tractable Description Logics for Ontologies.
156,8142,Dissertation in Progress: An Empirical Analysis of the Costs and Benefits of Naturalness in Spoken Dialog Systems.
157,8150,Tracking User Goals in an Information-Seeking Environment.
158,8151,Incorporating Default Inferences Into Plan Recognition.
159,8155,Low-Knowledge Algorithm Control.
160,8157,Learning to Disambiguate Relative Pronouns.
161,8158,A Case-Based Approach to Knowledge Acquisition for Domain-Specific Sentence Analysis.
162,8159,A Cognitively Plausible Approach to Understanding Complex Syntax.
163,8161,Exploring More Realistic Evaluation Measures for Collaborative Filtering.
164,8162,Learning Source Descriptions for Web Services.
165,8170,Acting Optimally in Partially Observable Stochastic Domains.
166,8174,Normal Multimodal Logics.
167,8188,Multiple-Goal Recognition from Low-Level Signals.
168,8202,Local Consistency in Junction Graphs for Constraint-Based Inference.
169,8205,The Bayesian Basis of Common Sense Medical Diagnosis.
170,8206,A Neat Theory of Marker Passing.
171,8209,Context-Sensitive Statistics For Improved Grammatical Language Models.
172,8210,A Probabilistic Model of Plan Recognition.
173,8211,A New Admissible Heuristic for Minimal-Cost Proofs.
174,8212,Equations for Part-of-Speech Tagging.
175,8213,Probabilistic Semantics for Cost Based Abduction.
176,8214,Dynamic MAP Calculations for Abduction.
177,8220,Collapsibility and Consistency in Quantified Constraint Satisfaction.
178,8224,Evaluating Critiquing-based Recommender Agents.
179,8226,Robust and Self-Repairing Formation Control for Swarms of Mobile Agents.
180,8231,A Computational Model of Narrative Generation for Suspense.
181,8232,HCPRVR: An Interpreter for Logic Programs.
182,8235,Integrated AI in Space: The Autonomous Sciencecraft on Earth Observing One.
183,8238,The Trailblazer Search: A New Method for Searching and Capturing Moving Targets.
184,8248,An Edge Deletion Semantics for Belief Propagation and its Practical Impact on Approximation Quality.
185,8251,Reinforcement Learning with Perceptual Aliasing: The Perceptual Distinctions Approach.
186,8252,Sensible Planning: Focusing Perceptual Attention.
187,8253,A Hierarchical Planner that Generates Its Own Hierarchies.
188,8254,A Unified Theory of Heuristic Evaluation Functions and its Application to Learning.
189,8257,A Plan-Based Model for Response Generation in Collaborative Task-Oriented Dialogues.
190,8258,Rough Resolution: A Refinement of Resolution to Remove Large Literals.
191,8266,The Advantages of Abstract Control Knowledge in Expert System Design.
192,8267,Classification Problem Solving.
193,8274,Exploiting Problem Structure in Genetic Algorithms.
194,8276,QE-III: A Formal Approach to Natural Language Ouerying.
195,8279,Explicit Passive Analysis in Electronic Catalogs.
196,8289,Interpreting Clues in Conjunction with Processing Restrictions in Arguments and Discourse.
197,8301,Constraint Symmetry and Solution Symmetry.
198,8309,Improving the Expressiveness of Many Sorted Logic.
199,8314,CATMS: An ATMS Which Avoids Label Explosions.
200,8315,Reasoning about Fluids via Molecular Collections.
201,8317,Achieving the Functionality of Filter Conditions in a Partial Order Planner.
202,8322,Computational Aspects of Mechanism Design.
203,8323,Computing Slater Rankings Using Similarities among Candidates.
204,8324,Improved Bounds for Computing Kemeny Rankings.
205,8325,Combinatorial Auctions with Structured Item Graphs.
206,8328,"Computing Shapley Values, Manipulating Value Division Schemes, and Checking Core Membership in Multi-Issue Domains."
207,8329,Expressive Negotiation in Settings with Externalities.
208,8330,A Generalized Strategy Eliminability Criterion and Computational Methods for Applying It.
209,8331,Nonexistence of Voting Rules That Are Usually Hard to Manipulate.
210,8332,Combinatorial Auctions with k-wise Dependent Valuations.
211,8333,Learning to Control a Dynamic Physical System.
212,8335,Selection and Ranking of Propositional Formulas for Large-Scale Service Directories.
213,8343,Tuning a Blackboard-Based Application: A Case Study Using GBB.
214,8344,"Achieving Flexibility, Efficiency, and Generality in Blackboard Architectures."
215,8345,GBB: A Generic Blackboard Development System.
216,8346,Unifying Data-Directed and Goal-Directed Control: An Example and Experiments.
217,8350,Propositional Fragments for Knowledge Compilation and Quantified Boolean Formulae.
218,8351,Merging Argumentation Systems.
219,8362,Experimental Results on the Crossover Point in Satisfiability Problems.
220,8363,Experimental Results on the Application of Satisfiability Algorithms to Scheduling Problems.
221,8365,Formalising Reasoning about Change: A Qualitative Reasoning Approach.
222,8367,QPC: A Compiler from Physical Models into Qualitative Differential Equations.
223,8368,Negation and Proof by Contradiction in Access-Limited Logic.
224,8369,Real-Time Classification of Electromyographic Signals for Robotic Control.
225,8370,Automatic Generation of Object Class Descriptions Using Symbolic Learning Techniques.
226,8373,Qualitative Simulation Based on a Logical Formalism of Space and Time.
227,8374,Comparative Experiments on Sentiment Classification for Online Product Reviews.
228,8377,Reducing Labeling Effort for Structured Prediction Tasks.
229,8379,Generating Explicit Orderings for Non-monotonic Logics.
230,8380,ScriptEase - Motivational Behaviors for Interactive Characters in Computer Role-Playing Games.
231,8386,Focusing and Reference Resolution in PUNDIT.
232,8387,Using Commonsense Knowledge to Disambiguate Prepositional Phrase Modifiers.
233,8388,Tensor Embedding Methods.
234,8394,Overlapping Coalition Formation for Efficient Data Fusion in Multi-Sensor Networks.
235,8399,Invited Talk: Viewing History of Science as Compiled Hindsight.
236,8402,A Symbolic Generalization of Probability Theory.
237,8403,Symbolic Causal Networks.
238,8406,When Gossip is Good: Distributed Probabilistic Inference for Detection of Slow Network Intrusions.
239,8409,A Computational Study of the Kemeny Rule for Preference Aggregation.
240,8413,An Ensemble Technique for Stable Learners with Performance Bounds.
241,8415,Identifying and Generating Easy Sets of Constraints for Clustering.
242,8418,Diagnosis Via Causal Reasoning: Paths of Interaction and the Locality Principle.
243,8419,Inferring Ignorance from the Locality of Visual Perception.
244,8421,Towards a Better Understanding of Bidirectional Search.
245,8422,Multiple Dimensions of Generalization In Model-Based Troubleshooting.
246,8423,Diagnosis Based on Description of Structure and Function.
247,8427,Dynamic Acioss-Time Measurement Interpretation.
248,8434,Inferring Finite Automata with Stochastic Output Functions and an Application to Map Learning.
249,8435,Incremental Causal Reasoning.
250,8436,An Analysis of Time-Dependent Planning.
251,8439,Probabilistic Temporal Reasoning.
252,8440,Planning With Deadlines in Stochastic Domains.
253,8453,Hardware and Software Architectures for Efficient AI.
254,8455,Improved Decision-Making in Game Trees: Recovering from Pathology.
255,8456,Probabilistic Prediction of Protein Secondary Structure Using Causal Networks (Extended Abstract).
256,8465,Experiments Towards Robotic Learning by Imitation.
257,8468,A Personal Learning Apprentice.
258,8476,Dynamically Adjusting Categories to Accommodate Changing Contexts.
259,8480,A Systematic Approach to Continuous Graph Labeling With Application to Computer Vision.
260,8485,The U.S. National Football League Scheduling Problem.
261,8486,On Boosting Semantic Web Data Access.
262,8487,Boosting Semantic Web Data Access Using Swoogle.
263,8488,"Nonnegative Matrix Factorization and Probabilistic Latent Semantic Indexing: Equivalence Chi-Square Statistic, and a Hybrid Method."
264,8490,Artificial Intelligence and Design: A Mechanical Engineering View.
265,8492,Implementing a Generalized Version of Resolution.
266,8494,Substructure Discovery Using Minimum Description Length Principle and Background Knowledge.
267,8507,Unifying Logical and Statistical AI.
268,8511,Exploiting the Ordering of Observed Problem-Solving Steps for Knowledge Base Refinement: An Apprenticeship Approach.
269,8512,Exploiting the Ordering of Observed Problem-Solving Steps for Knowledge Base Refinement: An Apprenticeship Approach.
270,8515,"Learning 10, 000 Chunks: What's It Like Out There?"
271,8522,A Particle Filtering Based Approach to Approximating Interactive POMDPs.
272,8523,On the Difficulty of Achieving Equilibrium in Interactive POMDPs.
273,8528,Constructing and Refining Causal Explanations from an Inconsistent Domain Theory.
274,8531,Generating Perception Requests and Expectations to Verify the Execution of Plans.
275,8535,Traffic Intersections of the Future.
276,8536,Making Autonomous Intersection Management Backwards-Compatible.
277,8542,Efficient Reasoning in Qualitative Probabilistic Networks.
278,8544,Can We Enforce Full Compositionality in Uncertainty Calculi?
279,8545,Monitoring Food Safety by Detecting Patterns in Consumer Complaints.
280,8547,Categorical Disambiguation.
281,8548,Referential Determinism and Computational Efficiency: Posting Constraints from Deep Structure.
282,8549,Panel: User Modeling and User Interfaces.
283,8556,Overeager Reciprocal Rationality and Mixed Strategy Equilibria.
284,8564,Cost-Optimal External Planning.
285,8565,Cost-Algebraic Heuristic Search.
286,8578,Strong and Uniform Equivalence in Answer-Set Programming: Characterizations and Complexity Results for the Non-Ground Case.
287,8594,Route Finding in Street Maps by Computers and People.
288,8596,Tactile Recognition by Probing: Identifying a Polygon on a Plane.
289,8602,CUI Networks: A Graphical Representation for Conditional Utility Independence.
290,8603,Interactive Frame Instantiation.
291,8605,Expert Systems: A User's Perspective of Some Current Tools.
292,8607,The Clarke Tax as a Consensus Mechanism Among Automated Agents.
293,8608,Constrained Intelligent Action: Planning Under the Influence of a Master Agent.
294,8609,Divide and Conquer in Multi-Agent Planning.
295,8615,WebCrow: A Web-Based System for Crossword Solving.
296,8617,HTN Planning: Complexity and Expressivity.
297,8618,On the Complexity of Domain-Independent Planning.
298,8619,MOLE: A Knowledge Acquisition Tool that Uses its Head.
299,8631,On Inheritance Hierarchies With Exceptions.
300,8636,Methods for Domain-Independent Information Extraction from the Web: An Experimental Comparison.
301,8638,Massively Parallel Support for Computationally Effective Recognition Queries.
302,8640,What Can Machines Know? On the Epistemic Properties of Machines.
303,8641,An Operational Semantics for Knowledge Bases.
304,8646,The Utility of Difference-Based Reasoning.
305,8647,Ideal Physical Systems.
306,8648,Setting up Large-Scale Qualitative Models.
307,8649,The Structure-Mapping Engine.
308,8652,Interpreting Loosely Encoded Questions.
309,8654,A Corner Finding Algorithm for Image Analysis and Registration.
310,8659,On Waiting.
311,8661,Facilitating Self-Education by Questioning Assumptive Reasoning.
312,8662,An Interactive Computer-Based Tutor for LISP.
313,8666,Branching on Attribute Values in Decision Tree Generation.
314,8668,What Should Be Minimized in a Decision Tree?
315,8669,The Attribute Selection Problem in Decision Tree Generation.
316,8671,Tiger in a Cage: The Applications of Knowledge-based Systems (1993) - Abstract.
317,8673,Coordinating Text and Graphics in Explanation Generation.
318,8675,A Two-Step Hierarchical Algorithm for Model-Based Diagnosis.
319,8677,Reasoning with Simplifying Assumptions: A Methodology and Example.
320,8681,Compressing Pattern Databases.
321,8683,Towards Modeling Threaded Discussions using Induced Ontology Knowledge.
322,8684,Mining and Re-ranking for Answering Biographical Queries on the Web.
323,8700,Automatic Goal-Directed Program Transformation.
324,8701,Being Suspicious: Critiquing Problem Specifications.
325,8702,AI and Software Engineering - Managing Exploratory Programming.
326,8704,On Supporting the Use of Procedures in Office Work.
327,8705,The Semantic Interpretation of Nominal Compounds.
328,8706,Swoogle: Searching for Knowledge on the Semantic Web.
329,8709,An Investigation into Reactive Planning in Complex Domains.
330,8711,Towards a System Architecture Supporting Contextualized Learning.
331,8715,Modeling and Using Physical Constraints in Scene Analysis.
332,8716,Improving Inference through Conceptual Clustering.
333,8717,A Computational Account of Basic Level and Typicality Effects.
334,8721,Quasi-Monotonic Segmentation of State Variable Behavior for Reactive Control.
335,8723,Selecting Appropriate Representations for Learning from Examples.
336,8724,Forward Chaining Logic Programming with the ATMS.
337,8726,"Inconsistencies, Negations and Changes in Ontologies."
338,8727,On Being Contradictory.
339,8733,Self-Explanatory Simulations: An Integration of Qualitative and Quantitative Knowledge.
340,8734,Self-Explanatory Simulations: Scaling Up to Large Models.
341,8737,Analogical Learning of Visual/Conceptual Relationships in Sketches.
342,8740,Initial Assessment of Architectures for Production Systems.
343,8743,A Quantitative Theory for Plan Merging.
344,8744,Job-Shop Scheduling: An Investigation in Constraint-Directed Reasoning.
345,8749,Introspective Reasoning in a Case-Based Planner.
346,8756,Learnability in Inductive Logic Programrning: Some Basic Results and Techniques.
347,8762,Constraints: The Ties that Bind.
348,8763,Information Needed to Label a Scene.
349,8764,Complexity of K-Tree Structured Constraint Satisfaction Problems.
350,8765,Eliminating Interchangeable Values in Constraint Satisfaction Problems.
351,8768,Panel: Are AI Systems Ready to Be Trusted in Critical Applications? (Will They Ever Be?).
352,8769,Trouble-Shooting by Plausible Inference.
353,8771,Conditional Logics of Belief Change.
354,8778,Physical Impossibility Instead of Fault Models.
355,8779,Generalization with Taxonomic Information.
356,8783,Dead-End Driven Learning.
357,8784,In Search of the Best Constraint Satisfaction Search.
358,8790,A Hybrid Generative/Discriminative Approach to Semi-Supervised Classifier Design.
359,8796,Constructor: A System for the Induction of Probabilistic Models.
360,8803,Discovering Procedural Executions of Rule-Based Programs.
361,8807,Learning Social Preferences in Games.
362,8809,Automatic Summarization of Conversational Multi-Party Speech.
363,8810,TAXI: A Taxonomic Assistant.
364,8811,A Critique of Yoav Shoham's Theory of Causal Reasoning.
365,8813,Basic Meanings of Spatial Relations: Computation and Evaluation in 3D Space.
366,8814,Fibring Neural Networks.
367,8816,Mixed Collaborative and Content-Based Filtering with User-Contributed Semantic Features.
368,8821,Computational Costs versus Benefits of Control Reasoning.
369,8823,Task Interdependencies in Design-to-time Real-time Scheduling.
370,8824,An Application of the Prospector System to DOE's National Uranium Resource Evaluation.
371,8830,Low Computation Vision-Based Navigation for a Martian Rover.
372,8832,Elementary Sets of Logic Programs.
373,8838,Assessing the Complexity of Plan Recognition.
374,8845,FRM: An Intelligent Assistant for Financial Resource Management.
375,8846,The Use of Intelligently Controlled Simulation to Predict a Machine's Long-Term Behavior.
376,8850,Cooperation without Communication.
377,8856,Towards an Understanding of Hill-Climbing Procedures for SAT.
378,8862,Incremental Least-Squares Temporal Difference Learning.
379,8868,Visibility-Based Pursuit-Evasion with Limited Field of View.
380,8871,Learning General Completable Reactive Plans.
381,8880,Boosting the Correspondence between Description Logics and Propositional Dynamic Logics.
382,8881,On the Update of Description Logic Ontologies at the Instance Level.
383,8887,Optimal Rhode Island Hold'em Poker.
384,8888,A Competitive Texas Hold'em Poker Player via Automated Abstraction and Real-Time Equilibrium Computation.
385,8889,Non-Monotonic Reasoning Using Dempster's Rule.
386,8890,Multi-Valued Logics.
387,8891,A Metalinguistic Approach to the Construction of Knowledge Base Refinement Systems.
388,8892,A Circumscriptive Theorem Prover.
389,8893,Knowledge-Base Reduction: A New Approach to Checking knowledge Bases for Inconsistency and Redundancy.
390,8894,Theory Revision via Prior Operationalization.
391,8895,"Theory Reduction, Theory Revision, and Retranslation."
392,8897,Search Lessons Learned from Crossword Puzzles.
393,8898,Is There any Need for Domain-Dependent Control Information?
394,8899,Iterative Broadening.
395,8901,Possible Worlds and the Qualification Problem.
396,8902,iBundler: An Agent-Based Decision Support Service for Combinatorial Negotiations.
397,8906,SAT-Based Answer Set Programming.
398,8914,A Probabilistic Classification Approach for Lexical Textual Entailment.
399,8916,Embedding Heterogeneous Data Using Statistical Models.
400,8919,A Logic of Knowledge and Belief for Recursive Modeling: A Preliminary Report.
401,8920,The Utility of Communication in Coordinating Intelligent Agents.
402,8931,Improving Rule-Based Systems Through Case-Based Reasoning.
403,8936,Emergent Coordination through the Use of Cooperative State-Changing Rules.
404,8938,Controlling Inequality Reasoning in a TMS-Based Analog Diagnosis System.
405,8949,Repairing Miscommunication: Relaxation in Reference.
406,8960,The Crystallographer's Assistant.
407,8964,Bounded Treewidth as a Key to Tractability of Knowledge Representation and Reasoning.
408,8965,Dealing with Uncertainties in CAD-Based Assembly Motion Planning.
409,8966,A Computational Model for Face Location Based on Cognitive Principles.
410,8967,Reasoning Precisely with Vague Concepts.
411,8977,Using Abstraction to Automate Program Improvement by Transformation.
412,8981,Analysis of Privacy Loss in Distributed Constraint Optimization.
413,8985,Learning to Select Useful Landmarks.
414,8986,A Statistical Approach to Solving the EBL Utility Problem.
415,8987,A Representation Language Language.
416,9000,A Synthetic Approach to Temporal Information Processing.
417,9004,On the Complexity of Monotonic Inheritance with Roles.
418,9008,Filming a Terrain under Uncertainty Using Temporal and Probahilistic Reasoning.
419,9009,The Common Order-Theoretic Structure of Version Spaces and ATMS's.
420,9010,Discriminative Model Selection for Belief Net Structures.
421,9013,Explanation-based Failure Recovery.
422,9016,Suitability of Message Passing Computers for Implementing Production Systems.
423,9027,Planning for Component-Based Configurations.
424,9030,Learning Indexing Patterns from One Language for the Benefit of Others.
425,9032,Mereological Semantics for Bio-Ontologies.
426,9034,The Independent LifeStyle AssistantTM (I.L.S.A.): AI Lessons Learned.
427,9035,An Epistemology for Clinically Significant Trends.
428,9036,Multiple Agent Event Detection and Representation in Videos.
429,9037,Interesting Instance Discovery in Multi-Relational Data.
430,9038,CASEE: A Hierarchical Event Representation for the Analysis of Videos.
431,9041,"A Hybrid Connectionist, Symbolic Learning System."
432,9042,Reasoning about only Knowing with Many Agents.
433,9045,Two Views of Belief: Belief as Generalized Probability and Belief as Evidence.
434,9046,"Likelihood, Probability, and Knowledge."
435,9047,Transforming between Propositions and Features: Bridging the Gap.
436,9053,Integrating Planning and Acting in a Case-Based Framework.
437,9054,Stabilizing Environments to Facilitate Planning and Activity: An Engineering Argument.
438,9055,Learning from Opportunities: Storing and Re-using Execution-Time Optimizations.
439,9056,Automatically Transforming Symbolic Shape Descriptions for Use in Sketch Recognition.
440,9060,Diagnosing Circuits With State: An Inherently Underconstrained Problem.
441,9061,The Epistemology of Physical System Modeling.
442,9075,"Negation, Contrast and Contradiction in Text Processing."
443,9080,Mega-Classification: Discovering Motifs in Massive Datastreams.
444,9081,A Relational Representation for Procedural Task Knowledge.
445,9086,The Ups and Downs of Lexical Acquisition.
446,9087,Simple Causal Minimizations for Temporal Persistence and Projection.
447,9088,Tractable Theories of Multiple Defeasible Inheritance in Ordinary Nonmonotonic Logics.
448,9096,PROTEAN: Deriving Protein Structure from Constraints.
449,9097,Guardian: A Prototype Intelligent Agent for Intensive-Care Monitoring.
450,9103,Finding Diverse and Similar Solutions in Constraint Programming.
451,9104,On the Expressiveness of Rule-based Systems for Reasoning with Uncertainty.
452,9111,Obtaining Quantitative Predictions from Monotone Relationships.
453,9121,New Inference Rules for Efficient Max-SAT Solving.
454,9122,Computer Interpretation of Human Stick Figures.
455,9126,Knowledge-Based Simulation of a Glass Annealing Process: An AI Application in the Glass Industry.
456,9130,Mechanisms for Efficiency in Blackboard Systems.
457,9133,IXM2: A Parallel Associative Processor for Knowledge Processing.
458,9150,Word Sense and Case Slot Disambiguation.
459,9152,Effective Short-Term Opponent Exploitation in Simplified Poker.
460,9156,Colin P. Williams: Solving the Really Hard Problems with Cooperative Search.
461,9159,Controlling Tiny Multi-Scale Robots for Nerve Repair.
462,9160,Expected Gains from Parallelizing Constraint Solving for Hard Problems.
463,9161,Compiling Plan Operators from Domains Expressed in Qualitative Process Theory.
464,9162,Prevention Techniques for a Temporal Planner.
465,9164,"User Modeling and User Interfaces: A Case for Domain Models, Task Models, and Tailorability."
466,9166,Weighted Super Solutions for Constraint Programs.
467,9181,Processing Pragmatics for Computer-Assisted Language Instruction.
468,9187,Mixing Strict and Defeasible Inheritance.
469,9188,Boolean Extensions of Inheritance Networks.
470,9189,A Skeptical Theory of Inheritance in Nonmonotonic Semantic Networks.
471,9192,A Framework for Comparing Alternative Formalisms for Plausible Reasoning.
